Title,Date,Final Score,Fake Scores,Bias,Typos,Total Words,Upvotes,Upvote Ratio
Possible COVID-19 exposure in Yellowknife as 3 presumptive new cases identified in N.W.T.,10/16/20,1.4809588248728394,0.478005865,1,52,7331,12,0.75
'Too much cultivation': Pot legalization anniversary comes amid supply glut concerns,10/16/20,1.475958731413633,0.544477028,-1,39,5994,15,0.73
‘My husband won’t be brought back’: Families of Penticton murder victims react to sentencing,10/17/20,1.449966184119872,0.490713587,1,21,2850,8,0.73
Samuel L. Jackson's Enslaved and the lost history of Canadian slavery,10/17/20,1.44986361583068,0.490713587,-1,49,6634,6,0.55
WestJet's retreat from Atlantic Canada pushes the federal government into a corner,10/16/20,1.4494487850076505,0.481915934,1,54,7224,13,0.75
‘Won’t be Cowed on Human Rights’: Trudeau Hits Back at China After Threat to Canadians in Hong Kong,10/17/20,1.4282039319806814,0.498533724,-4,15,1996,66,0.89
"Heavier breathing, spewing droplets, poor ventilation add to gyms' superspreading risk",10/16/20,1.3987896626843892,0.579667644,1,44,6176,61,0.73
Pallister PCs Launch RFP to Privatize Manitoba Parks,10/17/20,1.3965900857046127,0.549278846,-4,15,2004,5,0.78
"Airline passengers voice frustrations after WestJet cuts services, refunds with vouchers",10/16/20,1.3902539977835326,0.486803519,1,28,3347,11,0.77
Looking for local appliance repair? Why you can't always trust what you find on Google Maps,10/16/20,1.388148372294269,0.50342131,1,114,14044,27,0.83
Mystery surrounds priest’s death days after sex assault allegations surface,10/15/20,1.3875206995064897,0.518084066,1,64,7986,2,0.57
“Regulatory Mischief”: WE Charity In Kenya,10/17/20,1.3691516942683617,0.5347018570000001,1,228,28546,85,0.85
Thousands of protestors expected at 'freedom mega rally' this weekend in Vancouver,10/16/20,1.3611553722487033,0.48973607,-4,19,2143,19,0.7
"PQ leader attacks funding of anglo schools, defends his McGill studies",10/16/20,1.3584394557641684,0.516129032,1,11,1292,9,0.67
Can Quebec find a balance between a lockdown and freedom?,10/16/20,1.3562507178682273,0.568914956,1,53,6709,7,0.65
Questioning Kamala Harris’s race. Promoting a 9/11 conspiracy. Toronto byelections rocked by Liberal and Conservative candidates’ resurfaced tweets,10/16/20,1.3520515834016007,0.5112414470000001,-4,30,4196,0,0.28
Chinese envoy warns Canada against granting asylum to Hong Kong protesters,10/15/20,1.3485972138537827,0.485826002,1,25,2788,1633,0.97
"Electric vehicles and 2,000 jobs coming to Windsor following tentative FCA deal",10/16/20,1.3393844916732387,0.519061584,1,17,1946,82,0.88
Liberals propose special committee to examine pandemic-related spending,10/16/20,1.3390333168119009,0.54056696,1,13,1532,27,0.79
"Canadians applying for new pandemic benefit report confusion, frustration",10/16/20,1.3099951785967343,0.488758553,1,55,5470,21,0.76
Canada's Budget Deficit Has Grown By More Than Any Other G20 Country Amid Pandemic: NBF,10/16/20,1.309293462105635,0.499511241,-2,6,1392,92,0.82
"COVID-19 quarantine exemption for Costco CEO shouldn't have happened, Ottawa says",10/15/20,1.3018784763144298,0.544477028,1,76,8381,221,0.92
5 arrested after standing in way of Trans Mountain pipeline construction in B.C. Interior,10/16/20,1.28209297204797,0.575757576,1,25,2756,123,0.9
Canadian YouTubers engineer hyper-realistic plasma lightsaber that can cut through steel,10/16/20,1.2785312176521346,0.5347018570000001,1,38,3878,150,0.87
Trudeau defends federal response as threats escalate over Mi'kmaw fishery in Nova Scotia,10/16/20,1.277308836321542,0.49657869,1,81,7497,15,0.73
'An inspiration for all of us': What it was like working with Gord Downie on his final solo recording,10/16/20,1.265997508010824,0.405669599,1,149,9679,17,0.68
Carleton students raise privacy concerns about anti-cheating software,10/17/20,1.2539568422919922,0.6832844570000001,1,22,2550,4,0.61
Quebec doctor shortage still plaguing Montreal: ‘It absolutely makes no sense’,10/17/20,1.25124556952774,0.681329423,1,36,4168,17,0.8
"Hundreds of satanic, conspiracy photos followed Islamophobic material on killer's computer",10/16/20,1.2332807892060675,0.535679374,1,31,3533,0,0.47
Civil liberties group prepared to sue New Brunswick over access to abortion,10/16/20,1.2278026164287843,0.677419355,-1,54,5932,47,0.87
‘No BC for Xi’ campaign tracking candidates,10/16/20,1.2058834382535504,0.574780059,1,2,182,331,0.95
"As COVID-19 cases mount in Quebec's regions, some hospitals may be nearing a tipping point",10/17/20,1.1818774109998886,0.500488759,1,97,9068,0,0.5
B.C. leaders' answers on white privilege prompt concerns about their grasp of racism issues,10/16/20,1.0835506132856247,0.611925709,1,72,6327,0,0.3
« On défonce à trois! » : un prisonnier d’Octobre libère ses souvenirs,10/17/20,0.8559676795550559,0.497556207,-4,1503,12635,0,0.21
Bienvenue au vendredi français! Pratiquez votre français ici!,10/15/20,-10000000.0,0.546432063,10,227,3638,16,0.63
"“Somebody should call the police,” say NS RCMP officers watching van being torched",10/16/20,-10000000.0,0.508741259,10,3,886,96,0.78
